y_true,score,y_pred
1,-8.558432363748695,1
1,-9.054040861906982,1
1,-8.899334275846456,1
1,-9.132601097716412,1
1,-9.077133276887704,1
1,-9.327224679194483,1
1,-9.230989590408665,1
1,-8.380086581700924,1
1,-8.040901696837151,1
1,-9.36292546133611,1
1,-8.835895350574152,1
1,-9.194693112748483,1
1,-8.568324732060628,1
1,-7.86748737464166,1
1,-9.198587674462601,1
1,-8.92837550262766,1
1,-8.322370867808205,1
1,-8.103615403440132,1
1,-8.095488207253396,1
1,-9.767685514204459,1
1,-9.769590504518456,1
1,-9.764161825900958,1
1,-9.48133810819589,1
1,-9.95457110290559,1
1,-9.857399263511281,1
1,-9.928066935701471,1
1,-9.769500586128741,1
1,-9.70045925153402,1
1,-9.595419204000907,1
1,-8.682854942557276,1
1,-9.558455846188602,1
1,-10.068078465725252,1
1,-9.043395098526842,1
1,-9.471854969856546,1
1,-10.153356052204595,1
1,-9.929351426694964,1
1,-10.098694175766456,1
1,-9.82438164664631,1
1,-8.232598662350304,1
1,-9.563558378485896,1
1,-10.022222473421513,1
1,-9.674278740978796,1
1,-9.232345716283724,1
1,-8.462048809610678,1
1,-10.077911040980124,1
1,-9.675394568061963,1
1,-9.98200821274307,1
1,-9.935045936663172,1
1,-8.737721334466258,1
1,-9.91864631706567,1
1,-10.275362673721222,1
1,-9.548990314334425,1
1,-9.474311536824054,1
1,-10.076240002295249,1
1,-7.970136766710244,1
1,-10.033049220831026,1
1,-9.89561866533489,1
1,-9.70741346466382,1
1,-9.05074367636559,1
1,-9.50818458494242,1
1,-9.364012470959342,1
0,-9.335737492581368,1
0,-9.149224757070144,1
0,-8.470488231843857,1
0,-9.628012396309577,1
0,-9.441719120446049,1
0,-9.049174131619747,1
0,-8.738124051711434,1
0,-9.499478175346137,1
0,-9.505953282571653,1
0,-8.683680920492712,1
0,-9.067344040614515,1
0,-9.581648776341947,1
0,-5.682804962525876,1
0,-10.197448503270335,1
0,-7.943947608256065,1
0,-8.854683966084847,1
0,-8.933289814449445,1
0,-9.563848404050953,1
0,-9.075422633061338,1
0,-8.63519280046039,1
0,-9.092474671022524,1
0,-8.918995328832098,1
0,-10.067534761081117,1
0,-9.61779014310309,1
0,-8.801698323940721,1
0,-8.6190601165364,1
0,-9.406101999558366,1
0,-8.998556242224062,1
0,-8.996760623849074,1
0,-9.705371789124799,1
0,-9.64748599250095,1
0,-8.194727770993213,1
0,-8.408213678790197,1
0,-10.017916814116587,1
0,-7.3545644479187064,1
0,-9.351951344695314,1
0,-8.936588943565985,1
0,-4.243817783181459,1
0,-9.718986648696836,1
0,-9.184189898569114,1
0,-8.719286310032693,1
0,-8.946944382016115,1
0,-9.442775873265486,1
0,-8.380909540643069,1
0,-9.856772927176868,1
0,-9.425497314486769,1
0,-8.698731495088724,1
0,-9.454083639834366,1
0,-8.777036120238613,1
0,-8.53449038957217,1
0,-8.97406759992041,1
0,-8.924167301656047,1
0,-9.115388859940689,1
0,-9.7348890104643,1
0,-9.226646844706428,1
0,-8.746550350022892,1
0,-9.278010996913457,1
0,-8.690109939230545,1
0,-8.529364135415802,1
0,-9.278552242519448,1
0,-8.54102277012894,1
