y_true,score,y_pred
1,0.06996538,1
1,0.46528268,1
1,0.6026877,1
1,0.059905842,1
1,0.51297945,1
1,0.082560286,1
1,0.07432647,1
1,0.24932277,1
1,0.8049903,1
1,0.24529687,1
1,0.33532435,1
1,0.22712827,1
1,0.24549031,1
1,0.10069375,1
1,0.39884302,1
1,0.500332,1
1,0.15584357,1
1,0.19989145,1
1,0.6151775,1
1,0.051320493,1
1,0.20506158,1
1,0.095488,1
1,0.3340439,1
1,0.06766978,1
1,0.07897485,1
1,0.15383837,1
1,0.12663317,1
1,0.079915985,1
1,0.1947215,1
1,0.35264513,1
1,0.34236678,1
1,0.6451106,1
1,0.4679521,1
1,0.2741137,1
1,0.117692634,1
1,0.08883481,1
1,0.74682856,1
1,0.14583948,1
1,0.49963334,1
1,0.25708365,1
1,0.044513218,1
1,0.1307768,1
1,0.36389792,1
1,0.42802122,1
1,0.13871911,1
1,0.37003332,1
1,0.11367512,1
1,0.12971513,1
1,0.48749572,1
1,0.64456636,1
1,0.1229692,1
1,0.26513946,1
1,0.13974568,1
1,0.28586996,1
1,0.4681062,1
1,0.03957549,1
1,0.15509029,1
1,0.16897538,1
1,0.22517328,1
1,0.30617625,1
1,0.07617955,1
0,0.23362744,1
0,0.32662582,1
0,0.19207986,1
0,0.16547345,1
0,0.040740505,1
0,0.17103589,1
0,0.2803566,1
0,0.65526056,1
0,0.29639107,1
0,0.2333523,1
0,0.22921568,1
0,0.41334406,1
0,2.6593964,1
0,0.20996782,1
0,0.4572453,1
0,0.21976718,1
0,0.050577622,1
0,0.42962083,1
0,0.4642898,1
0,0.19440797,1
0,0.24596792,1
0,0.16395083,1
0,0.21291116,1
0,0.10325518,1
0,0.5682468,1
0,0.19171208,1
0,0.07489562,1
0,0.25234056,1
0,0.08172634,1
0,0.33459225,1
0,0.08622172,1
0,0.8155571,1
0,0.8544217,1
0,0.0595954,1
0,0.32692182,1
0,0.7264184,1
0,0.35645068,1
0,0.7658261,1
0,0.81776726,1
0,0.08217219,1
0,0.11355676,1
0,0.085253134,1
0,0.21998908,1
0,0.48901153,1
0,0.123117566,1
0,0.10547604,1
0,0.055892207,1
0,0.1327741,1
0,0.12774591,1
0,0.409539,1
0,0.14746943,1
0,0.5402609,1
0,0.2972862,1
0,0.33194637,1
0,0.24877873,1
0,0.67276865,1
0,0.36566773,1
0,0.09152311,1
0,0.2674321,1
0,0.24263312,1
0,0.96406376,1
