pcap_file,window_id,start_time,packet_count,total_bytes,avg_pkt_len,unique_src,unique_dst,mean_interarrival,rssi_mean,rssi_std
1. Deauth.csv,0,1608306178.4826,412,75385.0,182.9733009708738,5,12,0.024226299457596457,-43.067152103559884,12.530053183209551
1. Deauth.csv,1,1608306188.4826,690,108978.0,157.9391304347826,9,19,0.014475171209592777,-45.943961352657006,14.200794349369888
1. Deauth.csv,2,1608306198.4826,857,107102.0,124.97316219369895,7,11,0.011517614404731822,-46.01905873201089,13.885980655091815
1. Deauth.csv,3,1608306208.4826,991,116546.0,117.60443995963674,9,17,0.010096423312871142,-48.36629667003027,14.952232904802049
1. Deauth.csv,4,1608306218.4826,2686,297973.0,110.93559195830231,12,25,0.003718253620509995,-47.66306775874907,16.066800610590473
1. Deauth.csv,5,1608306228.4826,945,124857.0,132.1238095238095,13,22,0.010486822007066113,-46.89100529100529,14.764496406360191
1. Deauth.csv,6,1608306238.4826,676,96689.0,143.0310650887574,11,14,0.014715508355034723,-47.52958579881657,14.080517000452613
1. Deauth.csv,7,1608306248.4826,437,64397.0,147.36155606407323,9,14,0.022826646446088037,-46.955758962623946,13.466783556556472
1. Deauth.csv,8,1608306258.4826,2362,308434.0,130.58171041490263,11,26,0.004232701786692392,-44.85802991814846,11.200785421075102
1. Deauth.csv,9,1608306268.4826,9202,835084.0,90.75027168006955,10,22,0.00108220683221078,-46.46363109468957,11.52350083387189
1. Deauth.csv,10,1608306278.4826,1065,185489.0,174.1680751173709,12,17,0.009376739648948038,-52.053521126760565,12.442709792730891
1. Deauth.csv,11,1608306288.4826,624,80446.0,128.9198717948718,10,12,0.015852560392352208,-47.25480769230769,13.960148626648552
1. Deauth.csv,12,1608306298.4826,376,57463.0,152.82712765957447,6,9,0.026518119812011718,-47.240248226950364,14.038275925302646
1. Deauth.csv,13,1608306308.4826,338,54153.0,160.21597633136093,6,8,0.029498955616257663,-46.23372781065089,12.313924964704253
1. Deauth.csv,14,1608306318.4826,486,75851.0,156.07201646090536,11,14,0.02026918352264719,-46.02126200274349,12.871041128571008
1. Deauth.csv,15,1608306328.4826,360,56600.0,157.22222222222223,7,10,0.027751083161505485,-47.96481481481482,13.587939333691361
1. Deauth.csv,16,1608306338.4826,438,66062.0,150.82648401826484,10,9,0.022755585764310998,-45.53348554033485,11.712576335771626
1. Deauth.csv,17,1608306348.4826,366,56949.0,155.5983606557377,6,11,0.02693302468077777,-47.97723132969035,14.901246390962308
1. Deauth.csv,18,1608306358.4826,2040,364372.0,178.6137254901961,14,14,0.004871481127923701,-43.8625816993464,11.868217690798362
1. Deauth.csv,19,1608306368.4826,4657,834775.0,179.25166416147735,9,13,0.0021334360145621283,-42.94903729153246,8.389668778334853
1. Deauth.csv,20,1608306378.4826,60252,18348487.0,304.5290944698931,81,101,0.00016590911472184623,-47.593772820819225,10.506836218198744
1. Deauth.csv,21,1608306388.4826,46569,16214035.0,348.1722819901651,69,65,0.00021473256260888762,-48.07917284030149,13.224866400522707
1. Deauth.csv,22,1608306398.4826,60605,27179009.0,448.4614965761901,141,131,0.00016499767129739577,-47.2256469488216,12.461629239084992
1. Deauth.csv,23,1608306408.4826,24525,5333713.0,217.48065239551477,59,51,0.0004077577859265364,-48.54050968399592,11.636612720758327
1. Deauth.csv,24,1608306418.4826,29349,18319226.0,624.1856962758527,87,97,0.00034072202704851936,-48.328279214510424,14.2702016828464
1. Deauth.csv,25,1608306428.4826,37947,15810626.0,416.6502226789997,61,85,0.0002635034544469308,-45.99347335318558,9.960199084854109
1. Deauth.csv,26,1608306438.4826,57870,16876290.0,291.6241575946086,65,87,0.00017280360584436685,-48.7894821726859,11.832889435744761
